electoral_district,name,voters,color_id,color
1,Республика Адыгея (Адыгея) – Адыгейский одномандатный избирательный округ,340335,7,#ffa500
2,Республика Алтай – Алтайский одномандатный избирательный округ,163721,11,#00ffff
3,Республика Башкортостан – Уфимский одномандатный избирательный округ,502882,5,#b03060
4,Республика Башкортостан – Благовещенский одномандатный избирательный округ,516408,6,#ff0000
5,Республика Башкортостан – Белорецкий одномандатный избирательный округ,539331,1,#2f4f4f
6,Республика Башкортостан – Нефтекамский одномандатный избирательный округ,467833,3,#008000
7,Республика Башкортостан – Салаватский одномандатный избирательный округ,452731,6,#ff0000
8,Республика Башкортостан – Стерлитамакский одномандатный избирательный округ,494497,4,#00008b
9,Республика Бурятия – Бурятский одномандатный избирательный округ,688141,11,#00ffff
10,Республика Дагестан – Махачкалинский одномандатный избирательный округ,574385,9,#7fff00
11,Республика Дагестан – Буйнакский одномандатный избирательный округ,571667,15,#ee82ee
12,Республика Дагестан – Дербентский одномандатный избирательный округ,579436,2,#8b4513
13,Донецкая Народная Республика –  Макеевский одномандатный избирательный округ,505104,7,#ffa500
14,Донецкая Народная Республика –  Донецкий одномандатный избирательный округ,593904,11,#00ffff
15,Донецкая Народная Республика –  Горловский одномандатный избирательный округ,550973,13,#ff00ff
16,Республика Ингушетия – Ингушский одномандатный избирательный округ,249782,5,#b03060
17,Кабардино-Балкарская Республика – Кабардино-Балкарский одномандатный избирательный округ,545569,3,#008000
18,Республика Калмыкия – Калмыцкий одномандатный избирательный округ,204154,4,#00008b
19,Карачаево-Черкесская Республика –  Карачаево-Черкесский одномандатный избирательный округ,298466,9,#7fff00
20,Республика Карелия – Карельский одномандатный избирательный округ,497096,12,#0000ff
21,Республика Коми – Сыктывкарский одномандатный избирательный округ,623521,9,#7fff00
22,Республика Крым – Симферопольский одномандатный избирательный округ,485206,4,#00008b
23,Республика Крым – Керченский одномандатный избирательный округ,481657,15,#ee82ee
24,Республика Крым – Евпаторийский одномандатный избирательный округ,506917,8,#ffff00
25,Луганская Народная Республика –  Луганский одномандатный избирательный округ,609256,2,#8b4513
26,Луганская Народная Республика –  Алчевский одномандатный избирательный округ,630857,6,#ff0000
27,Республика Марий Эл – Марийский одномандатный избирательный округ,524344,12,#0000ff
28,Республика Мордовия – Мордовский одномандатный избирательный округ,571312,2,#8b4513
29,Республика Саха (Якутия) – Якутский одномандатный избирательный округ,641487,13,#ff00ff
30,Республика Северная  Осетия – Алания –  Северо-Осетинский одномандатный избирательный округ,513938,1,#2f4f4f
31,Республика Татарстан (Татарстан) –  Приволжский одномандатный избирательный округ,490205,8,#ffff00
32,Республика Татарстан (Татарстан) –  Московский одномандатный избирательный округ,521127,3,#008000
33,Республика Татарстан (Татарстан) –  Нижнекамский одномандатный избирательный округ,444527,5,#b03060
34,Республика Татарстан (Татарстан) –  Набережно-Челнинский одномандатный избирательный округ,519747,2,#8b4513
35,Республика Татарстан (Татарстан) – Альметьевский одномандатный избирательный округ,449855,6,#ff0000
36,Республика Татарстан (Татарстан) – Центральный одномандатный избирательный округ,498826,15,#ee82ee
37,Республика Тыва – Тывинский одномандатный избирательный округ,207746,15,#ee82ee
38,Удмуртская Республика – Удмуртский одномандатный избирательный округ,559208,1,#2f4f4f
39,Удмуртская Республика – Ижевский одномандатный избирательный округ,606111,14,#6495ed
40,Республика Хакасия – Хакасский одномандатный избирательный округ,395029,9,#7fff00
41,Чеченская Республика – Чеченский одномандатный избирательный округ,832639,10,#00fa9a
42,Чувашская Республика – Чувашия –  Канашский одномандатный избирательный округ,448416,4,#00008b
43,Чувашская Республика – Чувашия – Чебоксарский одномандатный избирательный округ,459891,11,#00ffff
44,Алтайский край – Барнаульский одномандатный избирательный округ,566807,9,#7fff00
45,Алтайский край –  Бийский одномандатный избирательный округ,604209,15,#ee82ee
46,Алтайский край – Славгородский одномандатный избирательный округ,572932,2,#8b4513
47,Забайкальский край – Забайкальский одномандатный избирательный округ,754427,3,#008000
48,Камчатский край – Камчатский одномандатный избирательный округ,225630,10,#00fa9a
49,Краснодарский край – Центральный одномандатный избирательный округ,513528,12,#0000ff
50,Краснодарский край – Северо-Западный одномандатный избирательный округ,456806,13,#ff00ff
51,Краснодарский край –  Юго-Западный одномандатный избирательный округ,507348,14,#6495ed
52,Краснодарский край – Западный одномандатный избирательный округ,534100,3,#008000
53,Краснодарский край – Черноморский одномандатный избирательный округ,458687,6,#ff0000
54,Краснодарский край – Южный одномандатный избирательный округ,528424,2,#8b4513
55,Краснодарский край –  Юго-Восточный одномандатный избирательный округ,450904,5,#b03060
56,Краснодарский край – Восточный одномандатный избирательный округ,519197,4,#00008b
57,Краснодарский край – Северный одномандатный избирательный округ,453403,7,#ffa500
58,Красноярский край – Красноярский одномандатный избирательный округ,501655,9,#7fff00
59,Красноярский край – Центральный одномандатный избирательный округ,561743,11,#00ffff
60,Красноярский край – Дивногорский одномандатный избирательный округ,534911,4,#00008b
61,Красноярский край – Енисейский одномандатный избирательный округ,431541,6,#ff0000
62,Пермский край –  Пермский одномандатный избирательный округ,509542,5,#b03060
63,Пермский край –  Чусовской одномандатный избирательный округ,491730,1,#2f4f4f
64,Пермский край – Кунгурский одномандатный избирательный округ,504251,4,#00008b
65,Пермский край – Кудымкарский одномандатный избирательный округ,463533,6,#ff0000
66,Приморский край – Владивостокский одномандатный избирательный округ,498651,6,#ff0000
67,Приморский край – Артемовский одномандатный избирательный округ,464452,2,#8b4513
68,Приморский край – Арсеньевский одномандатный избирательный округ,443773,3,#008000
69,Ставропольский край – Ставропольский одномандатный избирательный округ,489421,15,#ee82ee
70,Ставропольский край – Невинномысский одномандатный избирательный округ,465899,3,#008000
71,Ставропольский край – Кавминводский одномандатный избирательный округ,503820,7,#ffa500
72,Ставропольский край – Георгиевский одномандатный избирательный округ,440468,8,#ffff00
73,Хабаровский край – Хабаровский одномандатный избирательный округ,469498,10,#00fa9a
74,Хабаровский край – Комсомольский одномандатный избирательный округ,475645,8,#ffff00
75,Амурская область – Амурский одномандатный избирательный округ,584961,11,#00ffff
76,Архангельская область – Архангельский одномандатный избирательный округ,409493,10,#00fa9a
77,Архангельская область – Котласский одномандатный избирательный округ,433482,2,#8b4513
78,Астраханская область – Астраханский одномандатный избирательный округ,709392,13,#ff00ff
79,Белгородская область – Белгородский одномандатный избирательный округ,607795,4,#00008b
