district,osm_id,electoral_district
Адыгея,,1
Республика Алтай,,2
Дёмский район,,3
Кировский район,5523570,3
Советский район,3856973,3
Благоварский район,,3
Буздякский район,,3
Давлекановский район,,3
Кармаскалинский район,,3
Авдонский сельсовет,,3
Булгаковский сельсовет,,3
Жуковский сельсовет,,3
Зубовский сельсовет,,3
Ольховский сельсовет,,3
Таптыковский сельсовет,,3
Чесноковский сельсовет,,3
Юматовский сельсовет,,3
Чекмагушевский район,,3
Чишминский район,,3
Ленинский район,5523346,4
Орджоникидзевский район,5523682,4
Аскинский район,,4
Балтачевский район,,4
Белокатайский район,,4
Бирский район,,4
Благовещенский район,398512,4
Бураевский район,,4
Дуванский район,,4
Караидельский район,,4
Кигинский район,,4
Кушнаренковский район,,4
Мечетлинский район,,4
Мишкинский район,,4
Нуримановский район,,4
Салаватский район,,4
Татышлинский район,,4
Алексеевский сельсовет,,4
Дмитриевский сельсовет,,4
Кармасанский сельсовет,,4
Красноярский сельсовет,,4
Миловский сельсовет,,4
Михайловский сельсовет,,4
Николаевский сельсовет,,4
Черкасский сельсовет,,4
Шемякский сельсовет,,4
Калининский район,5523739,5
Октябрьский район,5493970,5
ЗАТО Межгорье,,5
Архангельский район,,5
Белорецкий район,,5
Иглинский район,,5
Кирилловский сельсовет,,5
Русско-Юрмашский сельсовет,,5
Учалинский район,,5
городской округ Агидель,,6
городской округ Нефтекамск,,6
городской округ Октябрьский,,6
Бакалинский район,,6
Дюртюлинский район,,6
Илишевский район,,6
Калтасинский район,,6
Краснокамский район,,6
Туймазинский район,,6
Шаранский район,,6
Янаульский район,,6
городской округ Кумертау,,7
городской округ Салават,,7
городской округ Сибай,,7
Абзелиловский район,,7
Баймакский район,,7
Бурзянский район,,7
Зианчуринский район,,7
Зилаирский район,,7
Кугарчинский район,,7
Куюргазинский район,,7
Мелеузовский район,,7
Стерлибашевский район,,7
Фёдоровский район,398533,7
Хайбуллинский район,,7
городской округ Стерлитамак,,8
Альшеевский район,,8
Аургазинский район,,8
Белебеевский район,,8
Бижбулякский район,,8
Гафурийский район,,8
Ермекеевский район,,8
Ишимбайский район,,8
Миякинский район,,8
Стерлитамакский район,,8
Республика Бурятия,,9
городской округ Каспийск,,10
городской округ Кизилюрт,,10
городской округ Кизляр,,10
городской округ Махачкала,,10
городской округ Южно-Сухокумск,,10
Бабаюртовский район,,10
Кизилюртовский район,,10
Кизлярский район,,10
Кумторкалинский район,,10
Ногайский район,,10
Тарумовский район,,10
городской округ Буйнакск,,11
городской округ Хасавюрт,,11
Ахвахский район,,11
Ботлихский район,,11
Буйнакский район,,11
Гергебильский район,,11
Гумбетовский район,,11
Гунибский район,,11
Казбековский район,,11
Левашинский район,,11
Новолакский район,,11
Тляратинский район,,11
Унцукульский район,,11
Хасавюртовский район,,11
Хунзахский район,,11
Цумадинский район,,11
Цунтинский район,,11
Чародинский район,,11
Шамильский район,,11
городской округ Дагестанские Огни,,12
городской округ Дербент,,12
городской округ Избербаш,,12
Агульский район,,12
Акушинский район,,12
Ахтынский район,,12
Дахадаевский район,,12
Дербентский район,,12
Докузпаринский район,,12
Кайтагский район,,12
Карабудахкентский район,,12
Каякентский район,,12
Кулинский район,,12
Курахский район,,12
Лакский район,,12
Магарамкентский район,,12
Рутульский район,,12
Сергокалинский район,,12
Сулейман-Стальский район,,12
Табасаранский район,,12
Хивский район,,12
Ингушетия,,16
Кабардино-Балкария,,17
Калмыкия,,18
Карачаево-Черкесия,,19
Карелия,,20
Республика Коми,,21
городской округ Симферополь,,22
Бахчисарайский район,,22
Симферопольский район,,22
городской округ Керчь,,23
городской округ Алушта,,23
городской округ Судак,,23
городской округ Феодосия,,23
городской округ Ялта,,23
Белогорский район,,23
Кировский район,1754556,23
Ленинский район,1754557,23
городской округ Джанкой,,24
городской округ Евпатория,,24
городской округ Красноперекопск,,24
городской округ Саки,,24
городской округ Армянск,,24
Джанкойский район,,24
Красногвардейский район,1754554,24
Красноперекопский район,1754555,24
Нижнегорский район,,24
Первомайский район,1754559,24
Раздольненский район,,24
Сакский район,,24
Советский район,1754562,24
Черноморский район,,24
Марий Эл,,27
Республика Саха (Якутия),,29
Северная Осетия — Алания,,30
Вахитовский район,,31
Приволжский район,2133466,31
Балтасинский район,,31
Кукморский район,,31
Лаишевский район,,31
Мамадышский район,,31
Пестречинский район,,31
Рыбно-Слободский район,,31
Сабинский район,,31
Тюлячинский район,,31
Кировский район,2133463,32
Московский район,2133464,32
Апастовский район,,32
Арский район,,32
Атнинский район,,32
Буинский район,,32
Верхнеуслонский район,,32
Высокогорский район,,32
Дрожжановский район,,32
Зеленодольский район,,32
Кайбицкий район,,32
Камско-Устьинский район,,32
Тетюшский район,,32
Аксубаевский район,,33
Алексеевский район,367113,33
Алькеевский район,,33
Елабужский район,,33
Абалачевское сельское поселение,,33
Брюшлинское сельское поселение,,33
Нижнекамский район,,33
Новошешминский район,,33
Нурлатский район,,33
Спасский район,367117,33
Черемшанский район,,33
Чистопольский район,,33
городской округ Набережные Челны,,34
Агрызский район,,34
Актанышский район,,34
городское поселение Менделеевск,,34
Бизякинское сельское поселение,,34
Енабердинское сельское поселение,,34
Ижевское сельское поселение,,34
Камаевское сельское поселение,,34
Монашевское сельское поселение,,34
Мунайкинское сельское поселение,,34
Псеевское сельское поселение,,34
Старогришкинское сельское поселение,,34
Татарско-Челнинское сельское поселение,,34
Тихоновское сельское поселение,,34
Тойгузинское сельское поселение,,34
Тураевское сельское поселение,,34
Мензелинский район,,34
Тукаевский район,,34
Азнакаевский район,,35
Альметьевский район,,35
