okrug,color_id,color,,name,voters,terr
1,8,#807ac5,,Избирательный округ № 1,183625,"Районы города Москвы: Крюково, Матушкино, Савелки, Силино, Старое Крюково."
2,12,#c34638,,Избирательный округ № 2,156531,"Районы города Москвы: Куркино, Молжаниновский; часть района города Москвы Митино в границах:  от южной границы полосы отвода Волоколамского шоссе (2,6 километра от МКАД) на запад по границе района до путепровода Братцево-Путилково, далее по левому берегу реки Сходни 650 метров, далее на юго-запад до северной границы дома 18 по 1-му Митинскому переулку, далее на запад до Путилковского шоссе, далее по Путилковскому шоссе до отвода 1-го Митинского переулка, далее по отводу 1-го Митинского переулка до 1-го Митинского переулка, далее по 1-му Митинскому переулку до пересечения с Пятницким шоссе, далее на северо-запад по Пятницкому шоссе до пересечения с Дубравной улицей, далее по Дубравной улице до пересечения с Митинской улицей, далее на юго-восток по Митинской улице до дома 30 (строение 1), далее на юго-запад через бульвар «Память сильнее времени» вдоль юго-восточной и юго-западной границ дома 23 до дома 25 по Митинской улице, далее на юг вдоль восточной и южной границ дома 25 до северной границы дома 25 (корпус 1, строение 1), далее вдоль западной границы дома 25 (корпус 1, строение 1) до дома 25 (корпус 2), далее на юг вдоль восточной границы дома 25 (корпус 2) по Митинской улице до северной границы дома 41 (корпус 4) по Дубравной улице, далее на восток вдоль северной границы дома 41 (корпус 4) по Дубравной улице до западной границы дома 17 (корпус 3) по Митинской улице, далее на юг вдоль западной границы, на восток вдоль южной границы дома 17 (корпус 3) до дома 17 (корпус 4), далее на юго-восток до дома 17 (корпус 1), вдоль юго-западной, юго-восточной и восточной границ дома 17 (корпус 1) до дома 17, вдоль южной границы дома 17 по Митинской улице, далее на северо-восток до Митинской улицы, далее на юго-восток по Митинской улице до пересечения с улицей Барышихой, далее 315 метров по улице Барышихе, далее на юго-восток вдоль западной границы дома 3 по улице Барышихе, далее по восточной границе Пенягинского пруда до южной границы полосы отвода Волоколамского шоссе (2,6 километра от МКАД); часть района города Москвы Северное Тушино в границах:  на запад от восточной границы дома 12 по улице Саломеи Нерис по границе района до оси Бутаковского залива Химкинского водохранилища, далее по оси Химкинского водохранилища до точки с координатами 55.860976о с.ш., 37.456744о в.д., далее на запад вдоль Аллеи Славы парка «Северное Тушино» до улицы Фомичевой, далее по улице Фомичевой до пересечения с улицей Бубнова, далее на север по улице Бубнова до Планерной улицы, далее на северо-запад по Планерной улице до пересечения с улицей Вилиса Лациса, далее по улице Вилиса Лациса до юго-западной границы владения 29 по улице Вилиса Лациса, далее на юго-восток вдоль северо-восточных границ дома 31 (корпусы 1, 2 и 3) по улице Вилиса Лациса, дома 22 (корпусы 1 и 2) по улице Героев Панфиловцев до улицы Героев Панфиловцев, далее на юго-запад по улице Героев Панфиловцев до пересечения с улицей Вилиса Лациса, далее по улице Вилиса Лациса до северо-западной границы дома 44 по улице Вилиса Лациса, далее на юго-запад вдоль северо-западной границы дома 44 до юго-западной границы дома 42, далее вдоль юго-западной границы дома 42 до дома 38 (корпус 2) по улице Вилиса Лациса, далее на юго-запад до улицы Саломеи Нерис."
3,11,#c7c89b,,Избирательный округ № 3,170997,"Район города Москвы Южное Тушино; район города Москвы Митино, за исключением территории в границах:  от южной границы полосы отвода Волоколамского шоссе (2,6 километра от МКАД) на запад по границе района до путепровода Братцево - Путилково, далее по левому берегу реки Сходни 650 метров, далее на юго-запад до северной границы дома 18 по 1-му Митинскому переулку, далее на запад до Путилковского шоссе, далее по Путилковскому шоссе до отвода 1-го Митинского переулка, далее по отводу 1-го Митинского переулка до 1-го Митинского переулка, далее по 1-му Митинскому переулку до пересечения с Пятницким шоссе, далее на северо-запад по Пятницкому шоссе до пересечения с Дубравной улицей, далее по Дубравной улице до пересечения с Митинской улицей, далее на юго-восток по Митинской улице до дома 30 (строение 1), далее на юго-запад через бульвар «Память сильнее времени» вдоль юго-восточной и юго-западной границ дома 23 до дома 25 по Митинской улице, далее на юг вдоль восточной и южной границ дома 25 до северной границы дома 25 (корпус 1, строение 1), далее вдоль западной границы дома 25 (корпус 1, строение 1) до дома 25 (корпус 2), далее на юг вдоль восточной границы дома 25 (корпус 2) по Митинской улице до северной границы дома 41 (корпус 4) по Дубравной улице, далее на восток вдоль северной границы дома 41 (корпус 4) по Дубравной улице до западной границы дома 17 (корпус 3) по Митинской улице, далее на юг вдоль западной границы, на восток вдоль южной границы дома 17 (корпус 3) до дома 17 (корпус 4), далее на юго-восток до дома 17 (корпус 1), вдоль юго-западной, юго-восточной и восточной границ дома 17 (корпус 1) до дома 17, далее вдоль южной границы дома 17 по Митинской улице, далее на северо-восток до Митинской улицы, далее на юго-восток по Митинской улице до пересечения с улицей Барышихой, далее 315 метров по улице Барышихе, далее на юго-восток вдоль западной границы дома 3 по улице Барышихе, далее по восточной границе Пенягинского пруда до южной границы полосы отвода Волоколамского шоссе (2,6 километра от МКАД); район города Москвы Северное Тушино, за исключением территории в границах:  на запад от восточной границы дома 12 по улице Саломеи Нерис по границе района до оси Бутаковского залива Химкинского водохранилища, далее по оси Химкинского водохранилища до точки с координатами 55.860976о с.ш., 37.456744о в.д., далее на запад вдоль Аллеи Славы парка «Северное Тушино» до улицы Фомичевой, далее по улице Фомичевой до пересечения с улицей Бубнова, далее на север по улице Бубнова до Планерной улицы, далее на северо-запад по Планерной улице до пересечения с улицей Вилиса Лациса, далее по улице Вилиса Лациса до юго-западной границы владения 29 по улице Вилиса Лациса, далее на юго-восток вдоль северо-восточных границ дома 31 (корпусы 1, 2 и 3) по улице Вилиса Лациса, дома 22 (корпусы 1 и 2) по улице Героев Панфиловцев до улицы Героев Панфиловцев, далее на юго-запад по улице Героев Панфиловцев до пересечения с улицей Вилиса Лациса, далее по улице Вилиса Лациса до северо-западной границы дома 44 по улице Вилиса Лациса, далее на юго-запад вдоль северо-западной границы дома 44 до юго-западной границы дома 42, далее вдоль юго-западной границы дома 42 до дома 38 (корпус 2) по улице Вилиса Лациса, далее на юго-запад до улицы Саломеи Нерис; часть района города Москвы Покровское-Стрешнево в границах:  от южной границы дома 25А (строение 3) по Ленинградскому шоссе на юго-запад через природно-исторический парк «Покровское-Стрешнево», развилку дублера Волоколамского шоссе и Иваньковского шоссе до Волоколамского шоссе, далее на северо-запад по Волоколамскому шоссе до улицы Свободы, далее по улице Свободы до пересечения с Тушинской улицей, далее на запад по Тушинской улице до Вишневой улицы, далее на север по Вишневой улице до границы района, далее на восток по границе района до южной границы дома 25А (строение 3) по Ленинградскому шоссе."
4,13,#74abbf,,Избирательный округ № 4,180577,"Районы города Москвы: Строгино, Щукино; район города Москвы Покровское-Стрешнево, за исключением территории в границах:  от южной границы дома 25А (строение 3) по Ленинградскому шоссе на юго-запад через природно-исторический парк «Покровское-Стрешнево», развилку дублера Волоколамского шоссе и Иваньковского шоссе до Волоколамского шоссе, далее на северо-запад по Волоколамскому шоссе до улицы Свободы, далее по улице Свободы до пересечения с Тушинской улицей, далее на запад по Тушинской улице до Вишневой улицы, далее на север по Вишневой улице до границы района, далее на восток по границе района до южной границы дома 25А (строение 3) по Ленинградскому шоссе; часть района города Москвы Кунцево в границах территорий поселка Рублево, деревни Мякинино и участков 3 и 4 в границах города Москвы, установленных Соглашением об изменении границы между субъектами Российской Федерации городом Москвой и Московской областью от 29 ноября 2011 года, постановлением Совета Федерации Федерального Собрания Российской Федерации от 27 декабря 2011 года № 560-СФ «Об утверждении изменения границы между субъектами Российской Федерации городом федерального значения Москвой и Московской областью»."
5,15,#cb94a4,,Избирательный округ № 5,183603,"Районы города Москвы: Головинский, Левобережный, Ховрино; часть района города Москвы Западное Дегунино в границах:  по границе района на северо-запад от Ховринского путепровода до Базовской улицы, далее на юго-запад по Базовской улице, исключая дом 17, до юго-западной границы дома 10, далее вдоль юго-западной границы дома 10 до дома 10 (строение 1), далее вдоль северо-западной границы дома 10 (строение 1) по Базовской улице до дома 20 по Весенней улице, далее на юго-восток вдоль северо-восточной, юго-восточной границ дома 20 по Весенней улице до Весенней улицы, далее по Весенней улице до Новой улицы, далее на северо-восток по Новой улице до дома 10, далее вдоль юго-западных границ дома 10 по Новой улице и дома 13 по Ангарской улице до Ангарской улицы, далее на юго-запад по Ангарской улице, исключая дома  7 (корпус 1) и 5, до юго-западной границы дома 3, далее на юго-восток вдоль северо-восточных границ дома 4 по Ангарской улице и дома 3 по Талдомской улице, далее вдоль юго-восточных границ домов 3 и 1 по Талдомской улице до Путейской улицы, далее на юго-восток по Путейской улице до Ховринского путепровода, далее на юго-запад до границы района."
6,10,#492b4e,,Избирательный округ № 6,184349,"Районы города Москвы: Восточное Дегунино, Дмитровский; район города Москвы Западное Дегунино, за исключением территории в границах:  по границе района на северо-запад от Ховринского путепровода до Базовской улицы, далее на юго-запад по Базовской улице, исключая дом 17, до юго-западной границы дома 10, далее вдоль юго-западной границы дома 10 до дома 10 (строение 1), далее вдоль северо-западной границы дома 10 (строение 1) по Базовской улице до дома 20 по Весенней улице, далее на юго-восток вдоль северо-восточной, юго-восточной границ дома 20 по Весенней улице до Весенней улицы, далее по Весенней улице до Новой улицы, далее на северо-восток по Новой улице до дома 10, далее вдоль юго-западных границ дома 10 по Новой улице и дома 13 по Ангарской улице до Ангарской улицы, далее на юго-запад по Ангарской улице, исключая дома 7 (корпус 1) и 5, до юго-западной границы дома 3, далее на юго-восток вдоль северо-восточных границ дома 4 по Ангарской улице и дома 3 по Талдомской улице, далее вдоль юго-восточных границ домов 3 и  1 по Талдомской улице до Путейской улицы, далее на юго-восток по Путейской улице до Ховринского путепровода, далее на юго-запад до границы района; часть района города Москвы Бескудниковский в границах:  от пересечения улицы 800-летия Москвы с Дмитровским шоссе на юг по Дмитровскому шоссе до Бескудниковского бульвара, далее на восток по Бескудниковскому бульвару до Дмитровского шоссе, далее на северо-запад по границе района до пересечения улицы 800-летия Москвы с Дмитровским шоссе."
7,2,#653cb9,,Избирательный округ № 7,184531,"Районы города Москвы: Аэропорт, Войковский, Коптево, Сокол; часть района города Москвы Хорошевский в границах:  от пересечения улицы Авиаконструктора Микояна и 2-й Песчаной улицы на восток по улице Авиаконструктора Микояна до проезда Березовой Рощи, далее по проезду Березовой Рощи до 4-го Ходынского проезда, далее по 4-му Ходынскому проезду до Ходынского бульвара, исключая дома 17 (строение 2), 19 и 19 (строение 1), далее по Ходынскому бульвару на юго-восток до дома 11 (строение 2), далее вдоль юго-восточной границы дома 13 до дома 4 (корпус 2) по улице Гризодубовой, далее на северо-запад вдоль северо-восточных границ дома 4 (корпусы 2,  3  и 4) по улице Гризодубовой до дома 4 по проезду Березовой Рощи, далее вдоль юго-восточной границы дома 4 по проезду Березовой Рощи до проезда  Березовой Рощи, далее на юго-восток по проезду Березовой Рощи, улице Гризодубовой до улицы Генерала Ивашутина, далее по улице Генерала Ивашутина до северо-западной границы дома 6Б по улице Куусинена, далее на юго-запад до границы района вдоль юго-восточных границ домов 6А (строение 3) и 12 (корпус 1) по улице Куусинена, домов 9А (корпус 1) и 9 по улице Зорге, далее на север по границе района до пересечения улицы Авиаконструктора Микояна и 2-й Песчаной улицы."
8,3,#cfcd48,,Избирательный округ № 8,184599,"Районы города Москвы: Беговой, Савеловский, Тимирязевский; район города Москвы Бескудниковский, за исключением территории в границах:  от пересечения улицы 800-летия Москвы с Дмитровским шоссе на юг по Дмитровскому шоссе до Бескудниковского бульвара, далее на восток по Бескудниковскому бульвару до Дмитровского шоссе, далее на северо-запад по границе района до пересечения улицы 800-летия Москвы с Дмитровским шоссе; район города Москвы Хорошевский, за исключением территории в границах:  от пересечения улицы Авиаконструктора Микояна и 2-й Песчаной улицы на восток по улице Авиаконструктора Микояна до проезда Березовой Рощи, далее по проезду Березовой Рощи до 4-го Ходынского проезда, далее по 4-му Ходынскому проезду до Ходынского бульвара, исключая дома 17 (строение 2), 19 и 19 (строение 1), далее по Ходынскому бульвару на юго-восток до дома 11 (строение 2), далее вдоль юго-восточной границы дома 13 до дома 4 (корпус 2) по улице Гризодубовой, далее на северо-запад вдоль северо-восточных границ дома 4 (корпусы 2,  3  и 4) по улице Гризодубовой до дома 4 по проезду Березовой Рощи, далее вдоль юго-восточной границы дома 4 по проезду Березовой Рощи до проезда  Березовой Рощи, далее на юго-восток по проезду Березовой Рощи, улице Гризодубовой до улицы Генерала Ивашутина, далее по улице Генерала Ивашутина до северо-западной границы дома 6Б по улице Куусинена, далее на юго-запад до границы района вдоль юго-восточных границ домов 6А (строение 3)  и 12 (корпус 1) по улице Куусинена,  домов 9А (корпус 1) и 9 по улице Зорге, далее на север по границе района до пересечения улицы Авиаконструктора Микояна и 2-й Песчаной улицы."
9,7,#577e3c,,Избирательный округ № 9,186219,"Районы города Москвы: Бибирево, Лианозово, Северный."
10,4,#cb4dc5,,Избирательный округ № 10,179304,"Районы города Москвы: Алтуфьевский, Марфино, Отрадное."
