district,okrug
район Крюково,1
район Матушкино,1
район Савёлки,1
район Силино,1
район Старое Крюково,1
район Куркино,2
Молжаниновский район,2
район Южное Тушино,3
район Строгино,4
район Щукино,4
Головинский район,5
район Левобережный,5
район Ховрино,5
район Восточное Дегунино,6
Дмитровский район,6
район Аэропорт,7
Войковский район,7
район Коптево,7
район Сокол,7
район Беговой,8
Савёловский район,8
Тимирязевский район,8
район Бибирево,9
район Лианозово,9
район Северный,9
Алтуфьевский район,10
район Марфино,10
район Отрадное,10
район Свиблово,11
район Северное Медведково,11
район Южное Медведково,11
Бабушкинский район,12
Лосиноостровский район,12
Ярославский район,12
Алексеевский район,13
Бутырский район,13
район Марьина Роща,13
Останкинский район,13
район Ростокино,13
район Богородское,14
район Метрогородок,14
район Сокольники,14
район Преображенское,15
район Северное Измайлово,15
район Перово,16
район Соколиная Гора,16
район Восточное Измайлово,17
район Ивановское,17
район Измайлово,17
район Восточный,18
район Новокосино,18
район Косино-Ухтомский,19
район Некрасовка,19
район Капотня,20
район Кузьминки,22
район Лефортово,23
Нижегородский район,23
Рязанский район,23
район Печатники,24
район Текстильщики,24
Южнопортовый район,24
район Братеево,25
район Зябликово,25
район Орехово-Борисово Северное,26
Орехово-Борисово Южное,26
район Нагатинский Затон,27
район Царицыно,27
район Бирюлёво Восточное,28
район Бирюлёво Западное,28
район Чертаново Северное,29
район Чертаново Центральное,29
Даниловский район,30
Донской район,30
район Нагатино-Садовники,30
Нагорный район,30
район Южное Бутово,31
район Северное Бутово,32
район Ясенево,32
район Коньково,33
район Тёплый Стан,33
район Зюзино,34
Обручевский район,34
район Черёмушки,34
Академический район,35
Гагаринский район,35
район Котловка,35
Ломоносовский район,35
поселение Воскресенское,36
поселение Московский,36
поселение «Мосрентген»,36
поселение Рязановское,36
поселение Сосенское,36
район Внуково,37
поселение Вороновское,37
поселение Десёновское,37
поселение Киевский,37
поселение Клёновское,37
поселение Кокошкино,37
поселение Краснопахорское,37
поселение Марушкинское,37
поселение Михайлово-Ярцевское,37
поселение Новофёдоровское,37
поселение Первомайское,37
поселение Роговское,37
городской округ Троицк,37
поселение Филимонковское,37
поселение Щаповское,37
Ново-Переделкино,38
район Солнцево,38
поселение Внуковское,38
район Проспект Вернадского,39
Тропарёво-Никулино,39
район Очаково-Матвеевское,40
район Крылатское,41
район Дорогомилово,42
район Филёвский Парк,42
район Фили-Давыдково,42
Пресненский район,43
район Хорошёво-Мнёвники,43
район Замоскворечье,44
Таганский район,44
район Хамовники,44
район Якиманка,44
район Арбат,45
Басманный район,45
Красносельский район,45
Мещанский район,45
Тверской район,45
